x,y,p,u,v
9.55,0.35,551.605,0.619493,0.000228109
9.65,0.35,511.617,0.619379,0.000239281
9.75,0.35,471.652,0.619258,0.000254611
9.85,0.35,431.712,0.619129,0.000275834
9.95,0.35,391.8,0.618987,0.000305143
10.05,0.35,351.919,0.618829,0.000345334
10.15,0.35,312.074,0.618648,0.000399995
10.25,0.35,272.272,0.618438,0.000473733
10.35,0.35,232.523,0.618189,0.000572453
10.45,0.35,192.838,0.617887,0.000703668
10.55,0.35,153.237,0.617518,0.000876822
10.65,0.35,113.742,0.61706,0.00110353
10.75,0.35,74.3849,0.616488,0.00139761
10.85,0.35,35.2073,0.615772,0.00177461
10.95,0.35,-3.73555,0.614874,0.00225037
11.05,0.35,-42.3711,0.613753,0.0028377
11.15,0.35,-80.6042,0.61236,0.00354024
11.25,0.35,-118.309,0.610645,0.00434148
11.35,0.35,-155.318,0.608559,0.00518787
11.45,0.35,-191.394,0.60606,0.00596546
11.55,0.35,-226.179,0.603122,0.00647547
11.65,0.35,-259.074,0.599764,0.00642538
11.75,0.35,-289,0.596136,0.00547101
11.85,0.35,-313.975,0.592772,0.0033472
11.95,0.35,-451.439,0.59126,2.03861e-07
0.05,0.45,10141.3,1.01698,0.11419
0.15,0.45,10150,1.05701,0.245145
0.25,0.45,10041.1,1.0942,0.297744
0.35,0.45,9879.47,1.11032,0.298785
0.45,0.45,9707.6,1.10459,0.273227
0.55,0.45,9546.42,1.08336,0.237315
0.65,0.45,9403.25,1.05382,0.199738
0.75,0.45,9278.54,1.02158,0.164374
0.85,0.45,9170,0.990351,0.132466
0.95,0.45,9074.49,0.96237,0.103968
1.05,0.45,8988.91,0.938905,0.0782576
1.15,0.45,8910.45,0.920681,0.0544901
1.25,0.45,8836.55,0.908167,0.0317531
1.35,0.45,8764.86,0.901775,0.00913655
1.45,0.45,8693.07,0.901972,-0.0142286
1.55,0.45,8618.77,0.909358,-0.0391283
1.65,0.45,8539.24,0.924695,-0.0661954
1.75,0.45,8451.3,0.948906,-0.0957946
